cliente_id,total_atendimentos,total_gasto,ticket_medio,dias_desde_ultimo_atendimento,intervalo_medio_atendimentos,atendimentos_30d,atendimentos_90d,gasto_90d,quantidade_servicos_diferentes,quantidade_profissionais_diferentes,target_churn
mock-cli-00001,1,162.48,162.48,99,0.0,0,0,0.0,1,1,1
mock-cli-00002,7,1495.73,213.68,3,61.5,1,2,147.79,8,5,0
mock-cli-00003,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00004,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00005,7,1208.66,172.67,1,53.67,1,2,811.75,7,5,0
mock-cli-00006,2,235.39,117.69,89,41.0,0,1,138.19,2,2,0
mock-cli-00007,4,1530.92,382.73,136,80.67,0,0,0.0,3,4,0
mock-cli-00008,5,1346.92,269.38,66,52.5,0,1,160.19,5,4,1
mock-cli-00009,5,547.02,109.4,26,66.5,1,3,373.87,4,5,0
mock-cli-00010,1,248.67,248.67,29,0.0,1,1,248.67,2,1,0
mock-cli-00011,5,747.83,149.57,31,47.5,0,2,169.24,6,4,0
mock-cli-00012,2,713.1,356.55,113,47.0,0,0,0.0,2,2,1
mock-cli-00013,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00014,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00015,6,682.77,113.8,108,52.8,0,0,0.0,7,5,0
mock-cli-00016,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00017,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00018,2,149.25,74.62,119,175.0,0,0,0.0,2,2,1
mock-cli-00019,3,1056.88,352.29,20,98.5,1,1,662.49,4,2,1
mock-cli-00020,11,2038.4,185.31,26,33.9,1,3,742.91,9,6,0
mock-cli-00021,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00022,1,153.33,153.33,31,0.0,0,1,153.33,1,1,0
mock-cli-00023,12,3034.41,252.87,86,29.91,0,1,347.47,13,6,0
mock-cli-00024,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00025,2,217.47,108.73,25,38.0,1,2,217.47,2,2,1
mock-cli-00026,2,293.79,146.9,87,52.0,0,1,187.86,3,2,0
mock-cli-00027,2,157.65,78.83,94,60.0,0,0,0.0,1,2,1
mock-cli-00028,1,54.13,54.13,34,0.0,0,1,54.13,1,1,1
mock-cli-00029,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00030,1,77.16,77.16,29,0.0,1,1,77.16,1,1,0
mock-cli-00031,3,538.91,179.64,15,114.5,1,1,189.46,5,3,1
mock-cli-00032,7,1047.43,149.63,16,63.83,1,2,429.16,7,6,0
mock-cli-00033,6,1227.09,204.51,108,62.0,0,0,0.0,6,6,1
mock-cli-00034,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00035,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00036,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00037,5,1454.28,290.86,124,48.25,0,0,0.0,7,5,1
mock-cli-00038,6,886.45,147.74,24,62.4,1,2,387.95,8,4,0
mock-cli-00039,5,868.5,173.7,29,37.5,1,2,564.48,6,4,0
mock-cli-00040,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00041,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00042,2,86.59,43.3,81,78.0,0,1,42.42,2,2,0
mock-cli-00043,1,132.02,132.02,53,0.0,0,1,132.02,2,1,1
mock-cli-00044,4,363.88,90.97,77,56.67,0,1,54.35,3,4,0
mock-cli-00045,3,340.28,113.43,130,107.0,0,0,0.0,4,3,1
mock-cli-00046,6,1170.42,195.07,70,70.2,0,1,55.73,7,5,1
mock-cli-00047,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00048,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00049,1,287.99,287.99,333,0.0,0,0,0.0,2,1,1
mock-cli-00050,2,279.82,139.91,25,38.0,1,2,279.82,2,2,0
mock-cli-00051,7,2007.85,286.84,38,62.5,0,1,857.43,10,5,0
mock-cli-00052,1,196.88,196.88,30,0.0,1,1,196.88,2,1,0
mock-cli-00053,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00054,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00055,3,355.46,118.49,98,69.5,0,0,0.0,4,2,1
mock-cli-00056,2,629.37,314.69,108,44.0,0,0,0.0,2,2,0
mock-cli-00057,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00058,7,1108.29,158.33,6,69.0,1,2,368.3,7,3,0
mock-cli-00059,4,403.31,100.83,10,48.33,1,2,85.02,4,2,0
mock-cli-00060,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00061,5,1471.47,294.29,49,42.0,0,1,157.85,7,4,1
mock-cli-00062,7,2205.56,315.08,61,42.33,0,1,732.55,6,7,0
mock-cli-00063,1,697.32,697.32,57,0.0,0,1,697.32,1,1,0
mock-cli-00064,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00065,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00066,3,1081.97,360.66,29,64.5,1,1,230.09,4,3,0
mock-cli-00067,1,44.69,44.69,28,0.0,1,1,44.69,1,1,1
mock-cli-00068,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00069,4,992.04,248.01,125,61.33,0,0,0.0,4,4,0
mock-cli-00070,3,670.84,223.61,56,80.0,0,1,311.2,5,2,1
mock-cli-00071,2,337.56,168.78,34,65.0,0,1,187.25,3,2,0
mock-cli-00072,9,2382.97,264.77,20,28.38,1,3,550.98,14,6,0
mock-cli-00073,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00074,4,539.68,134.92,26,69.33,1,1,281.54,5,4,1
mock-cli-00075,11,1755.75,159.61,29,37.4,1,3,564.75,13,6,0
mock-cli-00076,2,231.18,115.59,248,68.0,0,0,0.0,2,2,1
mock-cli-00077,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00078,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00079,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00080,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00081,1,48.07,48.07,53,0.0,0,1,48.07,1,1,0
mock-cli-00082,2,275.7,137.85,222,86.0,0,0,0.0,3,2,0
mock-cli-00083,6,1243.22,207.2,18,33.4,1,2,569.24,9,4,0
